"33082","yn_no_deadline","156","lineup","foil","./stims/h45.bmp","70","0","1","734","0","image-keyboard-response","0.0-41.0-0.2",NULL
"33082","yn_no_deadline","158","lineup","foil","./stims/h36.bmp","70","0","1","593","0","image-keyboard-response","0.0-41.0-0.3",NULL
"33082","yn_no_deadline","160","lineup","foil","./stims/h24.bmp","70","0","1","627","0","image-keyboard-response","0.0-41.0-0.4",NULL
"33082",NULL,"163","lineup",NULL,"./stims/h36.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-42.0-1.0",NULL
"33082","yn_no_deadline","165","lineup","foil","./stims/h18.bmp","70","0","1","477.99999999994","0","image-keyboard-response","0.0-44.0-0.0",NULL
"33082","yn_no_deadline","167","lineup","foil","./stims/h29.bmp","70","0","1","650","0","image-keyboard-response","0.0-44.0-0.1",NULL
"33082","yn_no_deadline","169","lineup","foil","./stims/h3.bmp","70","0","1","593.99999999994","0","image-keyboard-response","0.0-44.0-0.2",NULL
"33082","yn_no_deadline","171","lineup","foil","./stims/h10.bmp","70","0","1","710","0","image-keyboard-response","0.0-44.0-0.3",NULL
"33082","yn_no_deadline","173","lineup","foil","./stims/h53.bmp","70","0","1","610","0","image-keyboard-response","0.0-44.0-0.4",NULL
"33082",NULL,"176","lineup",NULL,"./stims/h12.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-45.0-1.0",NULL
"33082","yn_no_deadline","178","lineup","foil","./stims/h54.bmp","70","0","1","569.99999999994","0","image-keyboard-response","0.0-47.0-0.0",NULL
"33082","yn_no_deadline","180","lineup","foil","./stims/h40.bmp","70","0","1","456.99999999994","0","image-keyboard-response","0.0-47.0-0.1",NULL
"33082","yn_no_deadline","182","lineup","foil","./stims/h23.bmp","70","0","1","658","0","image-keyboard-response","0.0-47.0-0.2",NULL
"33082","yn_no_deadline","184","lineup","foil","./stims/h9.bmp","70","0","1","618","0","image-keyboard-response","0.0-47.0-0.3",NULL
"33082","yn_no_deadline","186","lineup","foil","./stims/h21.bmp","70","0","1","717","0","image-keyboard-response","0.0-47.0-0.4",NULL
"33082",NULL,"189","lineup",NULL,"./stims/h51.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-48.0-1.0",NULL
"33082","yn_no_deadline","191","lineup","foil","./stims/h2.bmp","70","0","1","604.99999999994","0","image-keyboard-response","0.0-50.0-0.0",NULL
"33082","yn_no_deadline","193","lineup","foil","./stims/h4.bmp","70","0","1","621","0","image-keyboard-response","0.0-50.0-0.1",NULL
"33082","yn_no_deadline","195","lineup","foil","./stims/h19.bmp","70","0","1","980","0","image-keyboard-response","0.0-50.0-0.2",NULL
"33082","yn_no_deadline","197","lineup","foil","./stims/h11.bmp","70","0","1","571","0","image-keyboard-response","0.0-50.0-0.3",NULL
"33082","yn_no_deadline","199","lineup","foil","./stims/h33.bmp","70","0","1","521.99999999994","0","image-keyboard-response","0.0-50.0-0.4",NULL
"33082",NULL,"202","lineup",NULL,"./stims/h54.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-51.0-1.0",NULL
"33082","yn_no_deadline","204","lineup","target","./stims/h54.bmp","74","1","1","793","0","image-keyboard-response","0.0-53.0-0.0",NULL
"33082","yn_no_deadline","206","lineup","foil","./stims/h48.bmp","70","0","1","478","0","image-keyboard-response","0.0-53.0-0.1",NULL
"33082","yn_no_deadline","208","lineup","foil","./stims/h19.bmp","70","0","1","579","0","image-keyboard-response","0.0-53.0-0.2",NULL
"33082","yn_no_deadline","210","lineup","foil","./stims/h47.bmp","70","0","1","443","0","image-keyboard-response","0.0-53.0-0.3",NULL
"33082","yn_no_deadline","212","lineup","foil","./stims/h2.bmp","70","0","1","516","0","image-keyboard-response","0.0-53.0-0.4",NULL
"33082",NULL,"217","lineup",NULL,"./stims/h50.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-56.0-1.0",NULL
"33082","confidence_deadline","219","lineup","foil","./stims/h26.bmp","49","1","1","955","0","image-keyboard-response","0.0-58.0-0.0",NULL
"33082","confidence_deadline","221","lineup","foil","./stims/h27.bmp","49","1","1","662","0","image-keyboard-response","0.0-58.0-0.1",NULL
"33082","confidence_deadline","223","lineup","foil","./stims/h6.bmp","49","1","1","892","0","image-keyboard-response","0.0-58.0-0.2",NULL
"33082","confidence_deadline","225","lineup","foil","./stims/h4.bmp","49","1","1","735","0","image-keyboard-response","0.0-58.0-0.3",NULL
"33082","confidence_deadline","227","lineup","target","./stims/h50.bmp","56","8","1","1160","0","image-keyboard-response","0.0-58.0-0.4",NULL
"33082",NULL,"230","lineup",NULL,"./stims/h54.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-59.0-1.0",NULL
"33082","confidence_deadline","232","lineup","foil","./stims/h40.bmp","49","1","1","977","0","image-keyboard-response","0.0-61.0-0.0",NULL
"33082","confidence_deadline","234","lineup","foil","./stims/h1.bmp","49","1","1","692","0","image-keyboard-response","0.0-61.0-0.1",NULL
"33082","confidence_deadline","236","lineup","target","./stims/h54.bmp","56","8","1","1158","0","image-keyboard-response","0.0-61.0-0.2",NULL
"33082","confidence_deadline","238","lineup","foil","./stims/h41.bmp","49","1","1","696","0","image-keyboard-response","0.0-61.0-0.3",NULL
"33082","confidence_deadline","240","lineup","foil","./stims/h37.bmp","49","1","1","957","0","image-keyboard-response","0.0-61.0-0.4",NULL
"33082",NULL,"243","lineup",NULL,"./stims/h38.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-62.0-1.0",NULL
"33082","confidence_deadline","245","lineup","foil","./stims/h7.bmp","49","1","1","649.00000000006","0","image-keyboard-response","0.0-64.0-0.0",NULL
"33082","confidence_deadline","247","lineup","target","./stims/h38.bmp","56","8","1","1439.0000000001","0","image-keyboard-response","0.0-64.0-0.1",NULL
"33082","confidence_deadline","249","lineup","foil","./stims/h14.bmp","49","1","1","729","0","image-keyboard-response","0.0-64.0-0.2",NULL
"33082","confidence_deadline","251","lineup","foil","./stims/h6.bmp","49","1","1","629.00000000006","0","image-keyboard-response","0.0-64.0-0.3",NULL
"33082","confidence_deadline","253","lineup","foil","./stims/h50.bmp","49","1","1","850","0","image-keyboard-response","0.0-64.0-0.4",NULL
"33082",NULL,"257","lineup",NULL,"./stims/h24.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-66.0-1.0",NULL
"33082","confidence_deadline","259","lineup","foil","./stims/h33.bmp","49","1","1","599","0","image-keyboard-response","0.0-68.0-0.0",NULL
"33082","confidence_deadline","261","lineup","foil","./stims/h4.bmp","49","1","1","523","0","image-keyboard-response","0.0-68.0-0.1",NULL
"33082","confidence_deadline","263","lineup","target","./stims/h24.bmp","56","8","1","1049","0","image-keyboard-response","0.0-68.0-0.2",NULL
"33082","confidence_deadline","265","lineup","foil","./stims/h7.bmp","49","1","1","558.99999999994","0","image-keyboard-response","0.0-68.0-0.3",NULL
"33082","confidence_deadline","267","lineup","foil","./stims/h42.bmp","49","1","1","494","0","image-keyboard-response","0.0-68.0-0.4",NULL
"33082",NULL,"270","lineup",NULL,"./stims/h12.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-69.0-1.0",NULL
"33082","confidence_deadline","272","lineup","foil","./stims/h14.bmp","49","1","1","791.99999999994","0","image-keyboard-response","0.0-71.0-0.0",NULL
