subject,resptype,deadline,dprime,c,beta
38511,yn,no,3.01308124779766,0.356191243522822,2.92482063222808
56103,confidence,deadline,1.82483913057209,-0.237929815089963,0.647793285807375
56103,yn,deadline,2.18137123138603,-0.772046251728638,0.185607790873807
56103,confidence,no,3.7254637348433,0,1
56103,yn,no,3.01308124779766,-0.356191243522822,0.341901308060117
91441,confidence,deadline,-1.46898874434038,0.415855008205816,0.542869496249984
91441,yn,deadline,1.82483913057209,0.237929815089963,1.54370232280758
91441,confidence,no,-0.674489750196082,0.337244875098041,0.796547742105316
91441,yn,no,0,0.318639363964375,1
88111,confidence,deadline,2.53722161761773,0.594121058612785,4.51505240376603
88111,yn,deadline,3.7254637348433,0,1
88111,confidence,no,2.18137123138603,0.772046251728638,5.38770487646121
88111,yn,no,3.7254637348433,0,1
96573,confidence,deadline,3.01308124779766,-0.356191243522822,0.341901308060117
96573,yn,deadline,3.01308124779766,-0.356191243522822,0.341901308060117
96573,confidence,no,3.01308124779766,0.356191243522822,2.92482063222808
96573,yn,no,2.30069876075202,0,1
57820,confidence,deadline,-2.30069876075202,0,1
57820,yn,deadline,1.82483913057209,0.237929815089963,1.54370232280758
57820,confidence,no,0.63727872792875,0,1
57820,yn,no,0.318639363964375,0.159319681982188,1.05207617578267
10661,confidence,deadline,1.46898874434038,0.415855008205816,1.84206334470396
10661,yn,deadline,1.15034938037601,-0.575174690188004,0.515998279160848
10661,confidence,no,0.993129114160457,0.177925193115853,1.1932762667311
10661,yn,no,1.82483913057209,0.237929815089963,1.54370232280758
96333,confidence,deadline,2.30069876075202,0,1
96333,yn,deadline,1.82483913057209,-0.237929815089963,0.647793285807375
96333,confidence,no,1.46898874434038,-0.415855008205816,0.542869496249984
96333,yn,no,3.7254637348433,0,1
68200,confidence,deadline,3.01308124779766,-0.356191243522822,0.341901308060117
68200,yn,deadline,1.46898874434038,-0.415855008205816,0.542869496249984
68200,confidence,no,1.82483913057209,-0.237929815089963,0.647793285807375
68200,yn,no,2.30069876075202,0,1
92973,confidence,deadline,0.674489750196082,-0.337244875098041,0.796547742105316
92973,yn,deadline,-0.355850386231707,0.496564557080228,0.838028902342482
92973,confidence,no,0.63727872792875,0,1
92973,yn,no,1.46898874434038,0.415855008205816,1.84206334470396
24746,confidence,deadline,1.82483913057209,0.237929815089963,1.54370232280758
24746,yn,deadline,1.46898874434038,-0.415855008205816,0.542869496249984
24746,confidence,no,2.53722161761773,0.594121058612785,4.51505240376603
24746,yn,no,2.30069876075202,0,1
22923,confidence,deadline,0.993129114160457,0.177925193115853,1.1932762667311
22923,yn,deadline,1.34897950039216,0,1
22923,confidence,no,0.993129114160457,0.177925193115853,1.1932762667311
22923,yn,no,2.53722161761773,0.594121058612785,4.51505240376603
13437,confidence,deadline,0.674489750196082,0.337244875098041,1.25541753135468
13437,yn,deadline,0.318639363964375,0.159319681982188,1.05207617578267
13437,confidence,no,1.15034938037601,-0.575174690188004,0.515998279160848
13437,yn,no,2.53722161761773,-0.594121058612785,0.221481371770103
98556,confidence,deadline,0.674489750196082,-0.337244875098041,0.796547742105316
98556,yn,deadline,1.46898874434038,0.415855008205816,1.84206334470396
98556,confidence,no,0.674489750196082,-0.337244875098041,0.796547742105316
98556,yn,no,2.53722161761773,-0.594121058612785,0.221481371770103
88136,confidence,deadline,1.15034938037601,0.575174690188004,1.93799095924558
88136,yn,deadline,2.18137123138603,0.772046251728638,5.38770487646121
88136,confidence,no,1.15034938037601,0.575174690188004,1.93799095924558
88136,yn,no,1.46898874434038,0.415855008205816,1.84206334470396
73677,confidence,deadline,1.46898874434038,-0.415855008205816,0.542869496249984
73677,yn,deadline,1.34897950039216,0,1
73677,confidence,no,0.674489750196082,0.337244875098041,1.25541753135468
73677,yn,no,0.318639363964375,-0.159319681982188,0.950501515972519
23481,confidence,deadline,3.7254637348433,0,1
23481,yn,deadline,1.34897950039216,0,1
23481,confidence,no,3.01308124779766,-0.356191243522822,0.341901308060117
23481,yn,no,2.18137123138603,-0.772046251728638,0.185607790873807
22215,confidence,deadline,0.993129114160457,0.177925193115853,1.1932762667311
22215,yn,deadline,2.18137123138603,0.772046251728638,5.38770487646121
22215,confidence,no,0.318639363964375,-0.159319681982188,0.950501515972519
22215,yn,no,2.30069876075202,0,1
45487,confidence,deadline,1.15034938037601,0.575174690188004,1.93799095924558
45487,yn,deadline,1.46898874434038,0.415855008205816,1.84206334470396
45487,confidence,no,-0.993129114160457,0.177925193115853,0.838028902342482
45487,yn,no,1.15034938037601,0.575174690188004,1.93799095924558
45974,confidence,deadline,1.82483913057209,-0.237929815089963,0.647793285807375
45974,yn,deadline,0.318639363964375,0.159319681982188,1.05207617578267
45974,confidence,no,-0.318639363964375,-0.159319681982188,1.05207617578267
45974,yn,no,3.01308124779766,-0.356191243522822,0.341901308060117
31835,confidence,deadline,0,0.674489750196082,1
31835,yn,deadline,1.46898874434038,0.415855008205816,1.84206334470396
31835,confidence,no,3.01308124779766,-0.356191243522822,0.341901308060117
31835,yn,no,1.82483913057209,0.237929815089963,1.54370232280758
93643,confidence,deadline,3.01308124779766,-0.356191243522822,0.341901308060117
93643,yn,deadline,2.30069876075202,0,1
93643,confidence,no,1.82483913057209,-0.237929815089963,0.647793285807375
93643,yn,no,2.30069876075202,0,1
63860,confidence,deadline,2.53722161761773,-0.594121058612785,0.221481371770103
63860,yn,deadline,2.18137123138603,-0.772046251728638,0.185607790873807
63860,confidence,no,2.53722161761773,0.594121058612785,4.51505240376603
63860,yn,no,3.7254637348433,0,1
14080,confidence,deadline,2.53722161761773,0.594121058612785,4.51505240376603
14080,yn,deadline,2.18137123138603,-0.772046251728638,0.185607790873807
14080,confidence,no,2.53722161761773,-0.594121058612785,0.221481371770103
14080,yn,no,2.53722161761773,0.594121058612785,4.51505240376603
56194,confidence,deadline,0.355850386231707,-0.496564557080228,0.838028902342482
56194,yn,deadline,2.30069876075202,0,1
56194,confidence,no,3.01308124779766,0.356191243522822,2.92482063222808
56194,yn,no,1.82483913057209,0.237929815089963,1.54370232280758
89530,confidence,deadline,0.63727872792875,0,1
89530,yn,deadline,0.318639363964375,-0.159319681982188,0.950501515972519
89530,confidence,no,0.993129114160457,-0.177925193115853,0.838028902342482
